33,000858,五粮液?点评,饮料制造,77.96,1.42%,2959,32,0,0,682,0,0,3.72,4.28,0.9,0,0,1.7,-0.8,-0.2,-0.7,116,1.05,11.7,10,46.6,47.4,17.2,17.4,24.5,25.2,0.26,1.36
34,300024,机器人?点评,通用设备,19.02,1.39%,288,79,0,0,-583,-0.02,-0.03,-9.74,10.63,-5.9,0,0,-0.7,-5.2,2.2,3.7,62,0.89,1.2,1.9,26.8,32,29.2,27,42.8,39.1,0.34,0.93
35,601601,中国太保?点评,保险业,41.3,1.32%,2596,26,0,0,2589,0.01,0.01,33.38,-9.42,9.5,0,0,8.7,0.8,-3.5,-6,142,1.39,24.9,16.2,50.8,50,13.5,17,10.8,16.8,0.11,1.22
36,600030,中信证券?点评,金融服务,18.58,1.31%,1824,21,0,0,2802,0.02,0,4.25,7.98,3.4,0,0,9.5,-6.1,-2.2,-1.2,144,1.01,36.7,27.2,37.1,43.2,11.5,13.7,14.7,15.9,0.45,1.39
37,603160,汇顶科技?点评,电子设备,89.44,1.30%,205,39,0,0,-269,-0.01,-0.02,-15.04,-1.33,-6.8,0,0,-0.3,-6.5,-0.7,7.5,91,0.83,0,0.3,42.2,48.7,23.4,24.1,34.4,26.9,0.19,0.82
38,002174,游族网络?点评,互联网,23.07,1.18%,133,33,0,0,-92,-0.01,0.02,-0.72,9.81,-3.2,0,0,0,-3.2,7.5,-4.3,41,1.12,0,0,18.8,22,33,25.5,48.2,52.5,0.22,0.65
39,600118,中国卫星?点评,电子设备,21.58,1.12%,255,74,0,0,173,0.01,0.01,12.24,20.51,4.5,0,0,6.2,-1.7,-1.3,-3.2,112,1.16,6.2,0,52.1,53.8,20.5,21.8,21.2,24.4,0.15,0.81
40,600519,贵州茅台?点评,饮料制造,748,1.10%,9396,35,0,0,7189,0.01,0,22.8,6.69,6.5,0,0,5.1,1.4,-6.5,0,167,1.21,46.4,41.3,40.3,38.9,13.1,19.6,0.2,0.2,0.12,1.27
41,600208,新湖中宝?点评,房地产业,4.69,1.08%,403,18,0,0,606,0.01,0.02,36.62,-9.39,5.9,0,0,12.2,-6.3,-1.2,-4.7,148,1.51,34.2,22,42.5,48.8,12.6,13.8,10.7,15.4,0.25,1.75
42,000728,国元证券?点评,金融服务,9.4,1.08%,277,27,0,0,34,0,0,-1.25,21.59,0.7,0,0,-0.1,0.8,-3.6,2.9,71,0.94,0,0.1,35.9,35.1,28.4,32,35.7,32.8,0.18,1.04
43,300033,同花顺?点评,软件服务,51.9,1.05%,137,38,0,0,-186,-0.02,0,-2.64,7.01,-2.1,0,0,0.4,-2.5,0.2,1.9,83,0.99,0.4,0,39.9,42.4,24.1,23.9,35.6,33.7,0.65,0.87
44,000725,京东方A?点评,电子设备,5.85,1.04%,1981,24,0,0,-4746,-0.02,-0.01,-8.47,19.23,-4,0,0,-2.9,-1.1,0.6,3.4,120,0.93,15.8,18.7,42.1,43.2,16,15.4,26.1,22.7,0.6,1.17
45,002500,山西证券?点评,金融服务,7.82,1.03%,221,44,0,0,-290,-0.02,-0.02,-13.56,18.56,-5.5,0,0,-3.9,-1.6,1.7,3.8,82,0.83,2.3,6.2,35.8,37.4,24.6,22.9,37.3,33.5,0.24,0.93
46,300144,宋城演艺?点评,文体传媒,20.1,1.01%,232,24,0,0,-411,-0.02,-0.03,-14.96,17.75,-7.4,0,0,0.9,-8.3,-0.3,7.7,80,0.83,0.9,0,35.6,43.9,26.7,27,36.8,29.1,0.24,0.94
47,600008,首创股份?点评,水供应,5.11,0.99%,246,44,0,0,914,0.04,0.02,18.76,27.51,11.8,0,0,18.9,-7.1,-5,-6.8,107,1.13,24.5,5.6,35.1,42.2,15.1,20.1,25.3,32.1,0.31,1.44
48,000738,航发控制?点评,运输设备,16.35,0.99%,187,77,0,0,-1423,-0.08,-0.08,-16.34,-3.61,-7.5,0,0,-6.7,-0.8,2.5,5,106,0.85,6.3,13,43.1,43.9,21.7,19.2,28.9,23.9,1.01,1.34
49,002294,信立泰?点评,医药制造,39.98,0.91%,418,29,0,0,-836,-0.02,-0.01,-19.17,3.61,-10.4,0,0,-5.9,-4.5,3.6,6.8,112,0.85,3.8,9.7,46.9,51.4,19.6,16,29.7,22.9,0.19,1.73
50,600009,上海机场?点评,航空运输,49.78,0.89%,544,27,0,0,283,0,0.02,13.58,16.59,4.5,0,0,-0.4,4.9,2.6,-7.1,80,1.26,1.6,2,40.5,35.6,29,26.4,28.9,36,0.12,1.11
51,002608,江苏国信?点评,电热供应,9.13,0.88%,49,16,0,0,29,0.01,-0.04,-5.63,13.51,4.5,0,0,0,4.5,-7.8,3.3,47,0.65,0,0,25.8,21.3,18.6,26.4,55.6,52.3,0.13,0.97
52,000826,启迪桑德?点评,生态环境,29.38,0.86%,249,25,0,0,-330,-0.01,-0.01,-9.17,5.93,-5.7,0,0,0,-5.7,1.2,4.5,82,0.93,0,0,38.2,43.9,27,25.8,34.8,30.3,0.23,1.14
53,002558,巨人网络?点评,互联网,32.53,0.84%,113,47,0,0,87,0.01,-0.02,0.35,14.12,3.2,0,0,0,3.2,-5.3,2.1,37,0.87,0,0,19.9,16.7,27.8,33.1,52.3,50.2,0.24,0.84
54,600977,中国电影?点评,文体传媒,17.28,0.82%,98,34,0,0,829,0.08,0.06,30.06,12,15.7,0,0,2.6,13.1,-3.9,-11.8,107,1.29,2.6,0,58.5,45.4,13.8,17.7,25.1,36.9,0.54,1.01
55,600436,片仔癀?点评,医药制造,81,0.81%,489,54,0,0,59,0,0,-2.15,-0.01,0.5,0,0,4.7,-4.2,-1.3,0.8,119,0.96,18.4,13.7,41.4,45.6,20,21.3,20.2,19.4,0.24,1
56,600570,恒生电子?点评,软件服务,53.23,0.81%,329,85,0,0,-1990,-0.06,-0.06,-14.91,1.74,-4,0,0,-3.7,-0.3,1.7,2.3,150,0.87,20.4,24.1,52.8,53.1,14.1,12.4,12.7,10.4,1.54,1.41
57,600663,陆家嘴?点评,房地产业,20.05,0.80%,490,35,0,0,174,0,0,21.19,-15.14,19.8,0,0,0,19.8,-13.7,-6.1,79,1.02,0,0,49.2,29.4,15.7,29.4,35.1,41.2,0.02,1.2
58,000100,TCL集团?点评,电子设备,3.84,0.79%,450,20,0,0,-728,-0.02,-0.01,-10,22.48,-3.4,0,0,-4.2,0.8,-0.9,4.3,128,0.91,16.9,21.1,45.5,44.7,11.9,12.8,25.7,21.4,0.48,1.42
59,600233,圆通速递?点评,邮政业,17.68,0.74%,138,35,0,0,434,0.03,0.03,30.43,11.52,17.6,0,0,1,16.6,-7.2,-10.4,81,1.39,1,0,48.5,31.9,16.9,24.1,33.6,44,0.18,1
60,002044,美年健康?点评,卫生,24.97,0.73%,240,225,0,0,19,0,0,1.95,18.24,0.6,0,0,4.5,-3.9,-0.3,-0.3,81,1.04,4.5,0,36.2,40.1,18.3,18.6,41,41.3,0.13,0.65
61,603858,步长制药?点评,医药制造,52.23,0.73%,171,24,0,0,-141,-0.01,-0.02,-9.81,0.19,-2.2,0,0,-3.2,1,-2.4,4.6,103,0.88,3.2,6.4,47.1,46.1,23,25.4,26.7,22.1,0.38,0.93
62,000538,云南白药?点评,医药制造,101.12,0.71%,1053,30,0,0,100,0,0,5.45,12.49,1.6,0,0,3.6,-2,1.1,-2.7,114,1.07,5.8,2.2,52,54,19.5,18.4,22.7,25.4,0.06,1.01
