股票代码,行业代码
2595,801890
2596,801710
2597,801030
2598,801890
2599,801140
2600,801080
2601,801030
2602,801760
2603,801150
2604,801010
2605,801140
2606,801730
2607,801880
2608,801160
2609,801750
2610,801730
2611,801880
2612,801130
2613,801890
2614,801110
2615,801140
2616,801110
2617,801730
2618,801080
2619,801760
2620,801720
2621,801890
2622,801730
2623,801710
2624,801760
2625,801880
2626,801150
2627,801170
2628,801720
2629,801020
2630,801730
2631,801140
2632,801030
2633,801890
2634,801130
2635,801080
2636,801080
2637,801030
2638,801760
2639,801890
2640,801200
2641,801710
2642,801750
2643,801030
2644,801150
2645,801890
2646,801120
2647,801790
2648,801030
2649,801750
2650,801120
2651,801890
2652,801710
2653,801150
2654,801760
2655,801080
2656,801130
2657,801750
2658,801160
2659,801760
2660,801080
2661,801120
2662,801880
2663,801720
2664,801880
2665,801730
2666,801030
2667,801890
2668,801110
2669,801030
2670,801790
2671,801710
2672,801160
2673,801790
2674,801130
2675,801150
2676,801110
2677,801110
2678,801140
2679,801010
2680,801150
2681,801110
2682,801170
2683,801030
2684,801880
2685,801890
2686,801890
2687,801130
2688,801010
2689,801890
2690,801890
2691,801890
2692,801730
2693,801150
2694,801710
2695,801120
2696,801010
2697,801200
2698,801890
2699,801760
2700,801160
2701,801140
2702,801120
2703,801880
2705,801110
2706,801730
2707,801210
2708,801880
2709,801030
2710,801150
2711,801170
2712,801760
2713,801720
2714,801010
2715,801880
2716,801050
2717,801720
2718,801710
2719,801120
2720,801130
2721,801140
2722,801890
2723,801110
2724,801080
2725,801880
2726,801120
2727,801150
2728,801150
2729,801080
2730,801890
2731,801140
2732,801120
2733,801730
2734,801030
2735,801140
2736,801790
2737,801150
2738,801020
2739,801760
2740,801140
2741,801030
2742,801710
2743,801720
2745,801080
2746,801010
2747,801890
2748,801030
2749,801030
2750,801150
2751,801140
2752,801140
2753,801030
2755,801720
2756,801040
2757,801890
2758,801150
2759,801110
2760,801890
2761,801130
2762,801130
2763,801130
2765,801880
2766,801750
2767,801730
2768,801030
2769,801170
2770,801120
2771,801750
2772,801010
2773,801150
2774,801890
2775,801720
2776,801130
2777,801750
2778,801030
2779,801890
2780,801130
2781,801720
2782,801080
2783,801030
2785,801710
2786,801890
2787,801140
2788,801150
2789,801720
2790,801140
2791,801710
2792,801770
2793,801890
2795,801710
2796,801890
2797,801790
2798,801140
2799,801140
2800,801170
2801,801730
2802,801030
2803,801140
2805,801030
2806,801050
2807,801780
2808,801080
2809,801030
2810,801030
2811,801720
2812,801140
2813,801770
2815,801080
2816,801890
2817,801150
2818,801200
2819,801890
2820,801120
2821,801150
2822,801720
2823,801730
2824,801050
2825,801030
2826,801150
2827,801030
2828,801020
2829,801740
2830,801720
2831,801140
2832,801130
2833,801890
2835,801750
2836,801140
2837,801890
2838,801030
2839,801780
2840,801120
2841,801080
2842,801050
2843,801890
2845,801080
2846,801140
2847,801120
2848,801110
2849,801890
2850,801080
2851,801730
2852,801010
2853,801140
2855,801080
2856,801720
2857,801890
2858,801760
2859,801080
2860,801110
2861,801080
2862,801140
2863,801880
2864,801150
2865,801880
2866,801080
2867,801140
2868,801010
2869,801750
2870,801890
2871,801890
2872,801150
2873,801150
2875,801130
2876,801080
2877,801890
2878,801760
2879,801730
2880,801150
2881,801080
2882,801730
2883,801720
2884,801890
2885,801080
2886,801030
2887,801720
2888,801080
2889,801170
2890,801890
2891,801010
2892,801730
2893,801160
2895,801030
2896,801890
2897,801770
2898,801150
2899,801140
2900,801150
2901,801150
2902,801080
2903,801890
2905,801760
2906,801880
2907,801150
2908,801770
2909,801030
2910,801120
2911,801160
2912,801750
2913,801080
2915,801030
2916,801080
2917,801030
2918,801710
2919,801030
2920,801750
2921,801880
2922,801080
2923,801150
2925,801080
2926,801790
2927,801730
2928,801170
2929,801770
2930,801170
2931,801880
2932,801150
2933,801740
300001,801730
300002,801750
300003,801150
300004,801890
300005,801130
300006,801150
300007,801890
300008,801740
300009,801150
300010,801750
300011,801730
300012,801230
300013,801170
300014,801080
300015,801150
300016,801150
300017,801770
300018,801730
300019,801030
300020,801750
300021,801010
300022,801200
300023,801790
300024,801890
300025,801770
300026,801150
300027,801760
300028,801770
300029,801730
300030,801150
300031,801760
300032,801080
300033,801750
300034,801740
300035,801890
300036,801750
300037,801030
300038,801760
300039,801150
300040,801730
300041,801030
300042,801750
300043,801760
300044,801750
300045,801750
300046,801080
300047,801750
300048,801730
300049,801150
300050,801770
300051,801760
300052,801760
300053,801080
300054,801030
300055,801160
300056,801160
300057,801140
300058,801760
300059,801760
300060,801080
300061,801760
300062,801730
300063,801760
300064,801890
300065,801750
300066,801890
300067,801030
300068,801730
300069,801730
300070,801160
300071,801760
300072,801160
300073,801030
300074,801750
300075,801750
300076,801080
300077,801080
300078,801080
300079,801750
300080,801890
300081,801770
300082,801030
300083,801080
300084,801890
300085,801750
300086,801150
300087,801010
300088,801080
300089,801140
300090,801160
300091,801890
300092,801890
300093,801710
300094,801010
300095,801890
300096,801750
300097,801890
300098,801770
300099,801890
300100,801880
300101,801740
300102,801080
300103,801890
300104,801760
300105,801730
300106,801010
300107,801030
300108,801150
300109,801030
300110,801150
300111,801730
300112,801890
300113,801760
300114,801890
300115,801080
300116,801730
300117,801710
300118,801730
300119,801010
300120,801730
300121,801030
300122,801150
300123,801740
300124,801730
300125,801160
300126,801890
300127,801050
300128,801080
300129,801730
300130,801750
300131,801080
300132,801030
300133,801760
300134,801770
300135,801030
300136,801080
300137,801160
300138,801010
300139,801080
300140,801160
300141,801730
300142,801150
300143,801150
300144,801210
300145,801890
300146,801120
300147,801150
300148,801760
300149,801010
300150,801750
300151,801890
300152,801160
300153,801730
300154,801890
300155,801750
300156,801160
300157,801020
300158,801150
300159,801740
300160,801110
300161,801890
300162,801080
300163,801030
300164,801020
300165,801890
300166,801750
300167,801750
300168,801750
300169,801030
300170,801750
300171,801150
300172,801160
300173,801890
300174,801030
300175,801010
300176,801790
300177,801750
300178,801210
300179,801890
300180,801030
300181,801150
300182,801750
300183,801770
300184,801080
300185,801730
300187,801160
300188,801750
300189,801010
300190,801160
300191,801020
300192,801030
300193,801890
300194,801150
300195,801890
300196,801030
300197,801720
300198,801710
300199,801150
300200,801030
300201,801890
300202,801750
300203,801160
300204,801150
300205,801770
300206,801150
300207,801080
300208,801730
300209,801750
300210,801890
300211,801770
300212,801750
300213,801770
300214,801030
300215,801730
300216,801150
300217,801110
300218,801030
300219,801080
300220,801080
300221,801030
300222,801890
300223,801080
300224,801050
300225,801030
300226,801760
300227,801080
300228,801890
300229,801750
300230,801030
300231,801750
300232,801080
300233,801150
300234,801710
300235,801750
300236,801030
300237,801720
300238,801150
300239,801150
300240,801170
300241,801080
300242,801760
300243,801030
300244,801150
300245,801750
300246,801150
300247,801110
300248,801750
300249,801110
300250,801750
300251,801760
300252,801770
300253,801750
300254,801150
300255,801150
300256,801080
300257,801890
300258,801880
300259,801890
300260,801890
300261,801030
300262,801160
300263,801160
300264,801750
300265,801730
300266,801160
300267,801150
300268,801010
300269,801760
300270,801750
300271,801750
300272,801110
300273,801150
300274,801730
300275,801890
300276,801890
300277,801750
300278,801890
300279,801080
300280,801890
300281,801890
300282,801080
300283,801730
300284,801720
300285,801030
300286,801730
300287,801750
300288,801750
300289,801150
300290,801750
300291,801760
300292,801770
300293,801890
300294,801150
300295,801760
300296,801080
300297,801750
300298,801150
300299,801760
300300,801750
300301,801080
300302,801750
300303,801080
300304,801880
300305,801030
300306,801890
300307,801890
300308,801770
300309,801790
300310,801770
300311,801750
300312,801770
300313,801010
300314,801150
300315,801760
300316,801730
300317,801730
300318,801150
300319,801080
300320,801030
300321,801030
300322,801080
300323,801080
300324,801750
300325,801030
300326,801150
300327,801080
300328,801050
300329,801140
300330,801750
300331,801080
300332,801160
300333,801750
300334,801160
300335,801160
300336,801760
300337,801050
300338,801760
300339,801750
300340,801080
300341,801890
300342,801110
300343,801760
300344,801710
300345,801890
300346,801080
300347,801150
300348,801750
300349,801890
300350,801170
300351,801890
300352,801750
300353,801770
300354,801890
300355,801720
300356,801730
300357,801150
300358,801150
300359,801760
300360,801730
300361,801150
300362,801890
300363,801150
300364,801760
300365,801750
300366,801750
300367,801750
300368,801750
300369,801750
300370,801890
300371,801890
300373,801080
300374,801710
300375,801880
300376,801730
300377,801750
300378,801750
300379,801750
300380,801750
300381,801150
300382,801890
300383,801770
300384,801030
300385,801890
300386,801750
300387,801030
300388,801160
300389,801080
300390,801080
300391,801890
300392,801760
300393,801730
300394,801770
300395,801050
300396,801150
300397,801740
300398,801030
300399,801750
300400,801890
300401,801150
300402,801890
300403,801110
300404,801150
300405,801030
300406,801150
